,number,price,currency
397,7405,9.5,ETH
398,9609,1.49,ETH
399,5882,18.5,ETH
400,433,4.2069,ETH
401,1755,2.0,WETH
402,7751,2.75,ETH
403,4070,0.65,ETH
404,6371,8.95,ETH
405,2741,0.1999,ETH
406,2331,9.99,ETH
407,6040,9.999,ETH
408,1728,1.79,ETH
409,5087,15.0,ETH
410,1745,0.99,ETH
411,6954,23.0,ETH
412,2419,5.0,ETH
413,2595,15.0,ETH
414,7229,4.0,ETH
415,7046,0.02,ETH
416,6406,9.0,ETH
417,2931,2.9,ETH
418,1358,24.0,ETH
419,8569,2.44,WETH
420,6508,0.005,ETH
421,9206,19.0,ETH
422,2906,0.12,ETH
423,8810,19.0,ETH
424,1722,0.19,ETH
425,1286,6.4,ETH
426,9854,11.99,ETH
427,8720,8.95,ETH
428,3772,7.5,WETH
429,4361,6.9,ETH
430,83,0.3,ETH
431,5956,0.55,ETH
432,6928,13.0,ETH
433,5444,30.0,ETH
434,2599,13.0,WETH
435,8733,11.99,ETH
436,6753,8.0,ETH
437,1561,3.5,ETH
438,1249,0.1,ETH
439,1577,4.66,ETH
440,3351,0.4,ETH
441,6937,19.0,ETH
442,2511,1.84,ETH
443,1187,0.02,ETH
444,5542,13.7,ETH
445,6175,3.0,ETH
446,1142,5.8,ETH
447,1889,22.0,ETH
448,8018,0.35,WETH
449,7958,21.99,ETH
450,9795,15.0,ETH
451,6860,0.005,ETH
452,1785,12.5,WETH
453,7962,9.0,ETH
454,3439,8.1,ETH
455,2480,2.3,WETH
456,373,0.35,WETH
457,5256,2.7,WETH
458,1850,14.99,ETH
459,7982,7.0,ETH
460,7774,12.4054,WETH
461,912,11.115,ETH
462,2458,18.0,ETH
463,8731,4.69,ETH
464,7713,3.1,ETH
465,1868,2.9,ETH
466,8488,4.5,ETH
467,7313,2.69,ETH
468,9497,20.0,ETH
469,8262,11.49,ETH
470,4621,0.02,ETH
471,8449,13.5,ETH
472,7888,3.2,ETH
473,5544,4.0,ETH
474,5445,1.39,ETH
475,3148,0.2,ETH
476,8990,1.45,ETH
477,2066,4.8,ETH
478,3896,9.69,ETH
479,160,11.97,ETH
480,5937,30.0,ETH
481,7014,4.0,WETH
482,1065,21.965,WETH
483,2407,4.86,ETH
484,4375,17.9625,ETH
485,7890,6.5,ETH
486,9034,6.2638,WETH
487,1471,2.85,ETH
488,6939,2.524,WETH
489,9896,1.005,ETH
490,2119,2.0,ETH
491,1700,5.5,ETH
492,371,4.0,ETH
493,2421,1.7,ETH
494,374,1.25,ETH
495,1279,6.9,WETH
496,1812,0.63,ETH
497,6231,1.93,ETH
498,1179,19.0,ETH
499,2125,2.69,ETH
500,7452,0.55,ETH
501,2161,0.3,ETH
502,9076,0.8,ETH
503,1603,20.0,ETH
504,1849,0.5,ETH
505,6016,0.54,ETH
506,9405,17.0,ETH
507,7302,0.125,ETH
508,1716,5.0,ETH
509,2601,0.2394,ETH
510,7299,9.0,ETH
511,2029,10.99,ETH
512,5104,1.0,ETH
513,1560,2.0,ETH
514,3321,2.69,ETH
515,9892,2.4,ETH
516,2875,0.6,ETH
517,7052,1.5,WETH
518,1788,2.94,ETH
519,2724,1.45,ETH
520,3370,16.5,ETH
521,3519,1.85,ETH
522,9731,23.69,ETH
523,9874,11.4,ETH
524,7100,0.0999,ETH
525,8904,22.222,ETH
526,93,9.9,ETH
527,1212,14.7929,WETH
528,1589,7.0,ETH
529,5613,0.4,WETH
530,1551,2.1,WETH
531,6870,3.1,ETH
532,619,0.25,ETH
533,3107,8.9,ETH
534,7705,0.59,ETH
535,7981,12.0,ETH
536,713,0.49,ETH
537,6495,16.0,ETH
538,1294,0.49,ETH
539,9790,0.44,ETH
540,2626,4.8,ETH
541,324,2.25,ETH
542,2608,1.6,WETH
543,5362,9.0,ETH
544,5323,19.69,ETH
545,9342,0.18,ETH
546,2080,11.25,ETH
547,9471,25.0,ETH
548,8293,10.99,ETH
549,1696,2.0,ETH
550,583,4.0,WETH
551,9321,2.9,ETH
552,3300,3.0,ETH
553,8252,3.49,ETH
554,2471,2.2,ETH
555,1447,3.5,ETH
556,2543,2.0,ETH
557,9253,8.7,ETH
558,8894,7.9,ETH
559,7368,3.399,ETH
560,5164,15.0,ETH
561,8670,0.12,ETH
562,9870,15.0,ETH
563,9578,0.399,ETH
564,7932,4.9,ETH
565,6110,13.9,ETH
566,7625,0.4999,ETH
567,2606,13.2745,WETH
568,1170,1.58,ETH
569,613,12.0,ETH
570,2628,1.5,ETH
571,8092,4.0,ETH
572,5379,30.0,WETH
573,463,2.9,ETH
574,4065,8.5,ETH
575,5427,3.8,ETH
576,3416,10.0,ETH
577,8093,24.0,ETH
578,1454,1.9,ETH
579,1012,9.99,ETH
580,7754,2.75,ETH
581,3423,15.9,ETH
582,6828,0.02,ETH
583,1773,2.0,ETH
584,562,13.5,ETH
585,8310,18.69,ETH
586,8856,0.4999,ETH
587,9443,1.15,ETH
588,4327,0.265,ETH
589,8007,0.02,ETH
