,cat_number,rank,face,face-score,shirt,shirt-score,body,tier,tier-score,hats,hats-score,total
4759,4760,5878,dizzy,4.8,tshirt yellow,4.4,blue cat skin,cool_2,5,afro brown,48.2,57.4
4760,4761,2432,sunglasses cowboy,7.3,gown black,123.9,blue cat skin,wild_2,4.2,candle,5.6,140.9
4761,4762,3444,double face,3.8,tshirt yellow,4.4,blue cat skin,wild_2,4.2,goggles seaweed,93.5,105.9
4762,4763,3241,zombie,1.1,tanktop tattoo,34.9,blue cat skin,classy_1,6.2,knight red,69.0,111.3
4763,4764,9713,double face,3.8,overalls blue,0,blue cat skin,cool_2,5,mohawk purple,5.6,9.4
4764,4765,977,happy,6.7,deepsea orange,132.9,blue cat skin,classy_1,6.2,mullet brown,57.5,203.2
4767,4768,5219,sunglasses yellow,8.5,buttondown green,0.2,blue cat skin,cool_2,5,mullet brown,57.5,66.2
4768,4769,8691,ninja black,7.5,work red,3.4,blue cat skin,cool_1,1.2,mohawk green,3.3,15.4
4769,4770,6714,derp,3.5,shirt bowtie,40.4,blue cat skin,cool_2,5,hat visor yellow,5.0,48.9
4770,4771,4165,stunned,2.8,tanktop sailor black,42.6,blue cat skin,wild_1,1.9,beret pink,46.7,94.0
4771,4772,8142,glasses,4.8,hoodie purple,6.4,blue cat skin,cool_1,1.2,mohawk purple,5.6,18.0
4772,4773,8686,ninja blue,4.5,tshirt yellow,4.4,blue cat skin,cool_1,1.2,flower red,5.4,15.5
4773,4774,819,ninja red,5.8,deepsea bronze,118.3,blue cat skin,classy_2,9.4,nurse,80.8,214.3
4774,4775,4432,angry,3.5,hoodie purple,6.4,blue cat skin,wild_1,1.9,bow,76.6,88.3
4775,4776,7398,face face,9.1,shirt yellow,4.4,blue cat skin,cool_1,1.2,beanie red,7.9,22.6
4777,4778,4124,beard pirate,0.8,robe white,46.6,blue cat skin,wild_2,4.2,hat skull,43.2,94.8
4779,4780,3219,wink,7.7,winter blue,46.6,blue cat skin,wild_1,1.9,sunhat white,55.7,111.8
4780,4781,8089,ninja red,5.8,work red,3.4,blue cat skin,cool_1,1.2,beanie red,7.9,18.3
4781,4782,3230,sunglasses cowboy,7.3,tshirt metal,41.1,blue cat skin,wild_1,1.9,sushi,61.4,111.6
4782,4783,1338,glasses funny,4.2,cowboy brown,123.9,blue cat skin,classy_2,9.4,afro brown,48.2,185.6
4783,4784,4319,three eyes,1.6,ninja red,37.6,blue cat skin,wild_2,4.2,cupcake,47.4,90.7
4785,4786,8999,beard pirate,0.8,tanktop orange,7.7,blue cat skin,cool_2,5,beret green,5.4,14.0
4786,4787,1071,angry cute,2.4,epaulette black,101.6,blue cat skin,classy_1,6.2,horns,88.4,198.5
4787,4788,5027,beard pirate,0.8,work blue,5.1,blue cat skin,wild_1,1.9,sushi,61.4,69.2
4788,4789,6012,dizzy,4.8,baseball red,47.4,blue cat skin,cool_2,5,bucket hat tan,3.7,56.0
4789,4790,3399,derp,3.5,winter blue,46.6,blue cat skin,wild_1,1.9,helm army,54.8,106.7
4791,4792,4248,sunglasses cowboy,7.3,viking brown,73.7,blue cat skin,wild_1,1.9,wreath,9.5,92.4
4792,4793,6111,unamused,2.0,buttondown red flannel,43.4,blue cat skin,cool_2,5,flower blue,9.5,54.9
4793,4794,7644,sunglasses cool,10.0,tanktop pink,5.9,blue cat skin,cool_1,1.2,bucket hat tan,3.7,20.8
