,cat_number,rank,face,face-score,shirt,shirt-score,body,tier,tier-score,hats,hats-score,total,price,currency,dollar-price
2415,3196,2712,shocked,7.5,overalls pink,60.0,blue cat skin,wild_2,4.2,beanie blue,59.4,131.1,15.5,ETH,45701.284999999996
2416,3197,9916,stunned,2.8,bandana red,0.6,blue cat skin,cool_1,1.2,hat white,5.0,4.6,0.02,ETH,58.9694
2417,3198,2389,hearts,4.2,baseball blue,38.9,blue cat skin,wild_2,4.2,astro,95.3,142.6,0.02,ETH,58.9694
2418,3199,3929,beard pirate,0.8,robe white,46.6,blue cat skin,classy_1,6.2,visor green,44.5,98.1,9.0,ETH,26536.23
2419,3200,9341,mononoke,4.5,tanktop orange,7.7,blue cat skin,cool_2,5.0,hat white,5.0,12.2,1.149,ETH,3387.7920299999996
2420,3201,7201,grin,5.4,shirt white,10.6,blue cat skin,cool_1,1.2,beanie red,7.9,25.1,7.5,ETH,22113.524999999998
2421,3202,3028,face face,9.1,winter blue,46.6,blue cat skin,wild_1,1.9,hat black,61.4,119.0,7.5,ETH,22113.524999999998
2422,3204,2769,beard brown,5.4,pirate black,69.7,blue cat skin,wild_2,4.2,pirate red,49.8,129.0,4.2,ETH,12383.574
2423,3205,207,ditto,0.0,astro orange,115.7,blue cat skin,exotic_2,62.4,admiral pink,118.8,296.9,11.999,ETH,35378.69153
2424,3206,4974,ninja red,5.8,bandana purple,3.0,blue cat skin,cool_2,5.0,hat black,61.4,70.1,0.8121,ETH,2394.452487
2425,3207,7184,shocked,7.5,tanktop white,3.9,blue cat skin,cool_1,1.2,beanie orange,12.8,25.4,11.0,ETH,32433.17
2426,3209,7536,sunglasses blue,3.2,tshirt green,7.7,blue cat skin,cool_1,1.2,wreath,9.5,21.6,4.3,ETH,12678.420999999998
2427,3210,7494,ninja black,7.5,bandana green,4.4,blue cat skin,cool_1,1.2,arrowhead,8.8,21.9,6.85,ETH,20197.0195
2428,3212,1189,beard tan,10.2,gown purple,86.2,blue cat skin,classy_1,6.2,helm biker,90.1,192.7,10.69,ETH,31519.144299999996
2429,3213,911,sunglasses yellow,8.5,tiger,113.2,blue cat skin,classy_2,9.4,tvhead grey,76.6,207.7,2.0,WETH,5896.94
2430,3215,6161,angry,3.5,hoodie black,42.6,blue cat skin,cool_2,5.0,flower pink,8.4,54.4,7.49,ETH,22084.0403
2431,3216,8795,three eyes,1.6,bandana red,0.6,blue cat skin,cool_2,5.0,beanie orange,12.8,15.0,4.2,ETH,12383.574
2432,3217,1931,smirk,6.3,tshirt green,7.7,blue cat skin,wild_2,4.2,deepsea bronze,145.0,163.3,14.5,ETH,42752.814999999995
2433,3218,8121,beard pirate,0.8,shirt white,10.6,blue cat skin,cool_2,5.0,headband red,6.6,18.1,12.2,ETH,35971.333999999995
2434,3219,2458,sunglasses squad,9.1,tshirt metal,41.1,blue cat skin,classy_1,6.2,pirate black,83.7,140.1,0.69,ETH,2034.4442999999997
2435,3220,1509,double face,3.8,sweater pink,39.7,blue cat skin,classy_2,9.4,crown fire,126.6,179.5,11.899,ETH,35083.844529999995
2436,3221,5543,sunglasses yellow,8.5,baseball red,47.4,blue cat skin,cool_2,5.0,candle,5.6,61.5,7.77,ETH,22909.611899999996
2437,3222,1470,angry scar,6.3,cowboy black,84.5,blue cat skin,classy_2,9.4,nurse,80.8,181.0,3.0,ETH,8845.41
2438,3223,6910,sunglasses blue,3.2,tanktop sailor red,39.7,blue cat skin,cool_2,5.0,mohawk green,3.3,46.1,2.8,ETH,8255.715999999999
2439,3224,3833,mummy,0.7,labcoat,38.2,blue cat skin,wild_2,4.2,unicorn horn,56.6,99.7,1.0,ETH,2948.47
2440,3225,119,three eyes,1.6,gown black,123.9,blue cat skin,exotic_2,62.4,costume dragon,148.5,336.4,0.02,ETH,58.9694
2441,3226,7884,smirk,6.3,buttondown tan,8.6,blue cat skin,cool_1,1.2,mohawk green,3.3,19.4,4.4,ETH,12973.268
2442,3227,5476,glasses funny,4.2,tshirt red,5.1,blue cat skin,wild_1,1.9,hat visor blue,51.4,62.5,12.7,ETH,37445.568999999996
2443,3228,3004,unamused,2.0,overalls yellow,60.0,blue cat skin,wild_2,4.2,sunhat black,53.9,120.1,14.95,ETH,44079.6265
2444,3229,4846,beard tan,10.2,buttondown tan,8.6,blue cat skin,cool_2,5.0,bucket hat white,54.8,73.6,9.0,ETH,26536.23
2445,3230,3543,glossy,9.6,shirt yellow,4.4,blue cat skin,wild_1,1.9,horns,88.4,104.2,2.061,ETH,6076.79667
